day,month,year,humidity,wspd,pressure,dew_point,city,tmin,tmax,tavg
1,1,2018,56,13.2,1014.3,2.9,Islamabad,6.8,16.2,11.4
2,1,2018,58,10.1,1015.1,4.6,Islamabad,9.3,16.2,12.7
3,1,2018,62,9.4,1015.7,4.6,Islamabad,7.6,15.5,11.8
4,1,2018,72,10.8,1015.8,5.3,Islamabad,6.8,14.1,10.2
5,1,2018,77,8.0,1016.9,6.2,Islamabad,7.2,14.1,10.2
6,1,2018,66,13.8,1015.3,3.0,Islamabad,5.7,14.3,9.2
7,1,2018,62,13.4,1015.5,2.6,Islamabad,5.9,14.2,9.8
8,1,2018,54,12.5,1016.8,2.1,Islamabad,5.3,15.0,11.2
9,1,2018,58,13.2,1019.5,2.3,Islamabad,5.0,15.7,10.5
10,1,2018,55,15.6,1019.4,2.5,Islamabad,6.3,16.6,11.3
11,1,2018,60,11.6,1017.1,4.4,Islamabad,8.0,16.4,12.0
12,1,2018,54,13.6,1015.7,2.9,Islamabad,6.7,16.4,12.3
13,1,2018,49,9.7,1016.4,2.7,Islamabad,11.0,16.5,13.7
14,1,2018,53,11.2,1016.6,3.5,Islamabad,8.8,17.1,13.0
15,1,2018,50,14.5,1017.3,1.9,Islamabad,7.5,16.7,12.2
16,1,2018,41,13.7,1013.3,-0.8,Islamabad,7.7,17.0,12.8
17,1,2018,49,18.6,1014.4,2.5,Islamabad,10.2,17.1,13.3
18,1,2018,62,16.3,1018.2,4.2,Islamabad,7.4,16.6,11.5
19,1,2018,61,11.7,1017.2,4.3,Islamabad,7.1,17.5,11.8
20,1,2018,52,17.4,1015.2,3.0,Islamabad,7.8,18.2,12.9
21,1,2018,47,11.0,1013.4,3.2,Islamabad,9.8,19.3,14.7
22,1,2018,49,14.4,1012.9,3.0,Islamabad,8.5,17.8,14.1
23,1,2018,60,12.2,1012.2,3.9,Islamabad,8.0,15.2,11.7
24,1,2018,67,9.7,1015.1,5.0,Islamabad,6.4,15.4,11.0
25,1,2018,67,13.0,1013.3,4.9,Islamabad,5.7,15.2,10.8
26,1,2018,61,8.4,1014.3,5.2,Islamabad,9.1,16.0,12.8
27,1,2018,56,7.6,1014.2,4.2,Islamabad,9.9,16.7,13.1
28,1,2018,58,8.0,1015.3,4.8,Islamabad,9.4,16.7,13.0
29,1,2018,63,10.2,1017.1,6.0,Islamabad,10.4,16.2,13.0
30,1,2018,69,13.6,1018.6,7.1,Islamabad,10.3,17.5,12.8
31,1,2018,65,9.3,1015.7,5.8,Islamabad,8.7,17.7,12.8
1,2,2018,66,17.1,1017.3,6.2,Islamabad,7.7,17.4,12.6
2,2,2018,60,11.0,1013.7,4.8,Islamabad,7.5,18.4,12.9
3,2,2018,46,13.4,1016.5,2.2,Islamabad,8.5,18.5,14.0
4,2,2018,47,17.1,1017.2,0.7,Islamabad,7.5,17.1,11.8
5,2,2018,38,11.5,1017.8,-0.9,Islamabad,8.0,19.1,14.0
6,2,2018,36,14.1,1019.7,-1.3,Islamabad,11.3,17.9,14.4
7,2,2018,47,11.7,1014.9,1.1,Islamabad,8.6,17.8,12.9
8,2,2018,39,9.5,1014.5,-0.3,Islamabad,10.6,17.8,13.9
9,2,2018,44,12.3,1014.3,0.7,Islamabad,7.2,18.0,13.2
10,2,2018,44,18.4,1017.8,1.0,Islamabad,10.0,17.4,13.3
11,2,2018,63,16.9,1018.1,4.9,Islamabad,7.5,16.2,11.7
12,2,2018,90,32.4,1016.8,8.2,Islamabad,8.4,10.9,9.7
13,2,2018,82,23.4,1026.2,7.4,Islamabad,8.3,14.1,10.5
14,2,2018,77,17.3,1024.9,6.7,Islamabad,6.7,15.0,10.7
15,2,2018,70,14.1,1021.2,7.4,Islamabad,8.5,18.7,13.0
16,2,2018,69,12.5,1019.2,8.8,Islamabad,10.1,20.0,14.5
17,2,2018,63,18.6,1014.3,7.4,Islamabad,10.4,19.8,14.6
18,2,2018,54,12.7,1012.5,5.3,Islamabad,9.6,20.0,15.1
19,2,2018,49,12.2,1015.0,4.6,Islamabad,9.0,20.7,15.9
20,2,2018,58,11.8,1014.1,6.9,Islamabad,10.8,21.0,15.5
21,2,2018,65,17.6,1013.9,9.0,Islamabad,11.0,20.9,15.8
22,2,2018,60,12.0,1012.5,8.1,Islamabad,12.2,20.9,16.1
23,2,2018,58,9.7,1012.8,8.6,Islamabad,12.0,21.1,17.2
24,2,2018,80,19.0,1016.3,10.1,Islamabad,11.2,15.3,13.5
25,2,2018,76,17.1,1019.8,10.1,Islamabad,9.3,19.6,14.5
26,2,2018,67,17.7,1015.0,10.0,Islamabad,12.2,20.8,16.4
27,2,2018,67,16.9,1014.2,10.5,Islamabad,12.1,21.7,16.9
28,2,2018,68,11.2,1014.2,11.9,Islamabad,13.1,22.5,18.0
1,3,2018,69,19.1,1013.0,11.5,Islamabad,14.4,21.0,17.4
2,3,2018,80,29.9,1011.7,11.9,Islamabad,13.0,18.8,15.4
3,3,2018,77,16.1,1011.4,10.6,Islamabad,12.0,18.1,14.7
4,3,2018,71,11.8,1011.7,9.6,Islamabad,10.2,20.0,15.0
5,3,2018,66,11.3,1014.8,9.2,Islamabad,11.6,21.2,15.7
6,3,2018,60,17.3,1015.3,8.3,Islamabad,12.4,21.7,16.4
7,3,2018,54,11.2,1013.4,8.1,Islamabad,12.9,22.8,17.9
8,3,2018,50,17.8,1014.8,8.4,Islamabad,15.7,23.7,19.4
9,3,2018,65,21.4,1016.8,10.6,Islamabad,13.4,22.1,17.5
10,3,2018,56,16.0,1015.3,9.2,Islamabad,13.0,23.2,18.2
11,3,2018,54,12.8,1012.9,9.3,Islamabad,14.5,24.7,19.3
12,3,2018,49,15.5,1013.0,10.0,Islamabad,15.9,25.5,21.4
13,3,2018,72,26.2,1012.2,12.6,Islamabad,14.2,22.4,17.9
14,3,2018,77,21.0,1010.6,12.3,Islamabad,13.4,21.1,16.5
15,3,2018,69,20.5,1011.7,10.7,Islamabad,12.8,20.6,16.5
16,3,2018,57,13.6,1012.2,8.5,Islamabad,12.5,22.7,17.6
17,3,2018,53,16.6,1012.5,7.5,Islamabad,12.0,23.2,17.6
18,3,2018,48,12.3,1013.3,6.7,Islamabad,14.2,24.0,18.6
19,3,2018,51,19.0,1015.8,8.8,Islamabad,14.1,24.6,19.4
20,3,2018,58,15.6,1013.2,10.3,Islamabad,15.3,23.2,18.9
21,3,2018,73,19.5,1011.5,11.9,Islamabad,13.5,20.5,16.9
22,3,2018,64,10.5,1012.5,11.3,Islamabad,13.8,23.4,18.4
23,3,2018,59,12.5,1012.0,11.1,Islamabad,14.3,24.4,19.7
24,3,2018,58,16.6,1015.2,11.3,Islamabad,14.3,25.9,20.1
25,3,2018,49,16.6,1015.3,9.9,Islamabad,16.2,27.7,21.7
26,3,2018,42,13.5,1012.8,9.0,Islamabad,17.1,28.8,23.3
27,3,2018,35,14.2,1009.1,7.7,Islamabad,18.8,31.0,24.7
28,3,2018,42,14.8,1010.6,9.5,Islamabad,19.2,29.0,23.6
29,3,2018,37,18.9,1008.8,7.5,Islamabad,18.2,29.9,23.5
30,3,2018,29,21.1,1007.1,4.9,Islamabad,18.6,31.4,25.1
31,3,2018,19,15.7,1006.9,-0.3,Islamabad,18.3,34.1,26.3
1,4,2018,38,14.1,1009.7,11.1,Islamabad,22.0,32.9,27.2
2,4,2018,45,15.0,1010.5,12.9,Islamabad,21.8,31.6,26.3
3,4,2018,54,28.5,1011.3,13.1,Islamabad,17.5,30.0,23.8
4,4,2018,47,15.2,1008.5,12.3,Islamabad,20.7,30.5,24.9
5,4,2018,44,10.0,1006.0,12.7,Islamabad,22.2,30.1,26.4
6,4,2018,41,10.4,1007.6,11.3,Islamabad,20.7,30.5,25.8
7,4,2018,39,14.5,1009.3,11.9,Islamabad,21.7,30.9,27.2
8,4,2018,53,19.1,1010.7,13.5,Islamabad,20.4,28.1,23.9
9,4,2018,76,19.2,1013.1,16.0,Islamabad,18.1,23.6,20.4
10,4,2018,80,12.5,1011.1,15.9,Islamabad,16.6,24.6,19.7
11,4,2018,72,11.4,1011.0,13.7,Islamabad,15.9,22.7,19.0
12,4,2018,59,9.7,1011.1,11.3,Islamabad,14.5,24.7,19.8
13,4,2018,50,13.1,1010.8,10.8,Islamabad,15.9,26.9,22.0
14,4,2018,49,11.1,1009.7,11.5,Islamabad,18.5,27.6,23.1
15,4,2018,53,13.9,1009.0,13.3,Islamabad,18.8,29.1,23.8
16,4,2018,71,21.7,1012.5,14.3,Islamabad,16.1,24.6,20.2
17,4,2018,74,16.9,1013.7,15.4,Islamabad,16.1,25.0,20.3
18,4,2018,69,23.0,1011.4,14.7,Islamabad,16.3,26.2,20.8
19,4,2018,61,22.5,1006.9,12.8,Islamabad,16.6,27.3,21.0
20,4,2018,81,24.4,1006.2,11.7,Islamabad,11.7,16.6,15.0
21,4,2018,67,15.4,1012.9,10.6,Islamabad,11.0,22.9,17.0
22,4,2018,53,16.8,1011.1,10.9,Islamabad,15.4,26.7,21.1
23,4,2018,50,16.9,1009.5,11.6,Islamabad,17.5,28.5,22.9
24,4,2018,48,12.0,1007.6,12.9,Islamabad,19.3,30.7,25.4
25,4,2018,43,15.8,1005.5,12.7,Islamabad,19.5,31.5,27.0
26,4,2018,46,13.2,1004.9,13.4,Islamabad,20.3,31.8,26.5
27,4,2018,41,12.8,1006.5,12.6,Islamabad,21.6,33.1,27.6
28,4,2018,33,10.5,1007.1,10.4,Islamabad,24.5,34.3,28.9
29,4,2018,39,15.3,1004.0,11.8,Islamabad,21.9,33.7,27.5
30,4,2018,31,13.3,1001.1,9.2,Islamabad,22.7,34.9,28.9
1,5,2018,29,13.3,1003.9,9.4,Islamabad,22.9,35.6,30.4
2,5,2018,35,31.3,1005.0,11.4,Islamabad,24.0,34.7,29.2
3,5,2018,58,22.1,1008.7,14.8,Islamabad,19.5,27.9,23.9
4,5,2018,51,11.5,1009.4,14.1,Islamabad,20.3,30.5,25.3
5,5,2018,51,16.2,1008.2,14.2,Islamabad,20.8,30.4,25.4
6,5,2018,66,15.7,1009.1,15.9,Islamabad,18.8,29.5,22.9
7,5,2018,81,15.8,1009.9,15.9,Islamabad,17.3,21.7,19.3
8,5,2018,69,13.2,1006.6,15.7,Islamabad,16.4,26.3,22.0
9,5,2018,54,14.1,1008.5,14.2,Islamabad,20.0,28.1,24.3
10,5,2018,52,13.8,1008.9,15.3,Islamabad,20.6,30.9,26.1
11,5,2018,52,38.4,1005.8,16.8,Islamabad,22.1,33.3,28.0
12,5,2018,66,19.8,1006.3,18.9,Islamabad,20.0,31.6,26.1
13,5,2018,66,17.6,1007.9,17.2,Islamabad,19.3,30.6,24.5
14,5,2018,68,26.0,1007.1,16.9,Islamabad,19.9,26.0,23.2
15,5,2018,66,18.0,1007.7,16.6,Islamabad,19.4,28.7,23.5
16,5,2018,67,15.9,1006.0,16.7,Islamabad,18.4,30.1,23.7
17,5,2018,54,15.1,1005.5,15.2,Islamabad,20.6,30.7,25.3
18,5,2018,59,23.3,1005.4,15.7,Islamabad,19.7,29.0,24.5
19,5,2018,60,19.7,1006.6,14.7,Islamabad,16.6,29.4,23.1
20,5,2018,50,19.1,1008.2,12.9,Islamabad,19.1,30.7,24.3
21,5,2018,40,16.4,1007.9,10.7,Islamabad,19.4,32.3,25.7
22,5,2018,41,22.5,1008.3,10.6,Islamabad,19.6,31.7,25.5
23,5,2018,31,18.6,1006.5,7.8,Islamabad,20.8,33.6,27.2
24,5,2018,29,14.2,1004.5,7.1,Islamabad,20.8,34.3,27.8
25,5,2018,23,19.6,1003.6,5.8,Islamabad,23.3,37.1,30.4
26,5,2018,32,14.5,1002.1,10.8,Islamabad,23.6,36.1,29.7
27,5,2018,30,21.9,1002.5,10.0,Islamabad,23.2,36.0,30.4
28,5,2018,28,17.9,999.8,9.6,Islamabad,24.9,36.6,30.8
29,5,2018,26,21.6,997.9,9.3,Islamabad,25.6,38.0,31.4
30,5,2018,24,17.9,999.4,8.2,Islamabad,24.9,38.4,32.0
31,5,2018,23,21.3,1000.3,8.5,Islamabad,27.1,40.1,33.4
1,6,2018,22,17.4,1001.7,8.5,Islamabad,27.6,39.7,33.9
2,6,2018,26,26.4,1002.2,11.1,Islamabad,27.1,39.3,33.7
3,6,2018,29,25.6,999.6,14.0,Islamabad,29.4,39.4,35.2
4,6,2018,35,26.9,999.2,16.5,Islamabad,30.0,40.0,34.6
5,6,2018,37,29.9,1002.1,17.2,Islamabad,30.8,38.0,34.1
6,6,2018,45,16.6,1003.5,19.3,Islamabad,28.3,38.2,33.2
7,6,2018,46,25.5,999.4,19.7,Islamabad,28.1,38.6,33.3
8,6,2018,37,18.3,995.6,17.6,Islamabad,29.9,39.5,35.0
9,6,2018,60,27.1,996.3,21.3,Islamabad,26.8,33.8,30.3
10,6,2018,67,16.0,997.3,22.0,Islamabad,25.6,33.4,28.9
11,6,2018,49,15.4,995.4,18.3,Islamabad,25.8,35.5,31.3
12,6,2018,34,13.6,991.9,14.4,Islamabad,27.4,39.2,33.5
13,6,2018,24,14.6,991.0,10.9,Islamabad,29.3,40.9,35.4
14,6,2018,27,12.7,991.3,13.2,Islamabad,29.9,41.8,35.8
15,6,2018,48,25.1,994.9,19.1,Islamabad,27.0,37.8,31.9
16,6,2018,59,16.2,998.4,19.9,Islamabad,24.5,33.3,28.8
17,6,2018,69,15.0,1000.6,20.2,Islamabad,21.9,31.3,26.5
18,6,2018,69,13.6,1000.9,20.3,Islamabad,22.8,31.1,26.7
19,6,2018,56,12.7,1000.3,19.3,Islamabad,24.5,33.9,29.4
20,6,2018,55,29.9,1001.7,19.8,Islamabad,26.7,34.0,30.2
21,6,2018,53,14.8,1001.5,19.0,Islamabad,25.1,35.7,30.6
22,6,2018,47,28.2,1001.0,17.2,Islamabad,27.0,34.2,30.3
23,6,2018,48,13.1,1000.6,17.5,Islamabad,23.9,35.9,30.7
24,6,2018,44,14.1,999.4,16.8,Islamabad,27.8,35.7,31.0
25,6,2018,33,14.9,995.9,13.3,Islamabad,26.9,38.5,33.2
26,6,2018,23,21.5,994.7,10.0,Islamabad,29.5,38.9,34.6
27,6,2018,42,23.2,999.0,16.1,Islamabad,28.2,35.7,31.2
28,6,2018,55,21.6,1002.1,19.2,Islamabad,26.2,32.8,29.4
29,6,2018,58,18.8,1002.4,18.5,Islamabad,24.6,32.1,27.7
30,6,2018,55,16.1,1001.6,19.3,Islamabad,24.1,34.7,29.6
1,7,2018,52,18.7,998.4,20.5,Islamabad,26.3,37.6,32.1
2,7,2018,56,26.6,995.1,22.1,Islamabad,28.3,36.9,32.2
3,7,2018,77,24.2,996.8,21.9,Islamabad,23.8,30.2,26.4
4,7,2018,79,17.4,998.0,21.4,Islamabad,22.2,28.6,25.5
5,7,2018,77,9.9,1000.8,21.5,Islamabad,21.4,29.7,26.1
6,7,2018,62,12.7,999.6,20.0,Islamabad,23.8,33.2,28.6
7,7,2018,54,10.9,998.2,20.1,Islamabad,24.9,35.4,30.7
8,7,2018,52,12.1,996.8,21.0,Islamabad,26.2,36.9,32.5
9,7,2018,54,16.3,996.4,22.2,Islamabad,28.6,37.3,32.9
10,7,2018,58,21.7,997.2,22.8,Islamabad,27.5,37.0,32.5
11,7,2018,74,20.6,996.8,24.2,Islamabad,26.1,32.5,29.5
12,7,2018,78,17.9,996.4,24.3,Islamabad,24.7,32.3,28.5
13,7,2018,82,17.9,998.3,23.7,Islamabad,24.6,29.9,27.1
14,7,2018,77,9.6,997.8,24.0,Islamabad,25.1,32.1,28.6
15,7,2018,81,18.2,997.8,24.6,Islamabad,25.7,31.0,28.1
16,7,2018,82,12.2,998.3,24.6,Islamabad,25.2,30.7,28.0
17,7,2018,82,12.3,999.1,24.4,Islamabad,24.5,31.0,27.8
18,7,2018,81,9.0,999.8,24.2,Islamabad,24.2,31.2,27.9
19,7,2018,77,7.7,999.2,24.2,Islamabad,26.4,31.9,28.8
20,7,2018,76,5.8,998.2,24.6,Islamabad,26.2,32.1,29.2
21,7,2018,76,12.5,998.0,24.6,Islamabad,26.7,32.9,29.4
22,7,2018,83,18.4,998.6,24.5,Islamabad,25.6,31.0,27.8
23,7,2018,88,19.4,999.3,24.6,Islamabad,24.9,28.6,26.8
24,7,2018,83,11.2,999.8,24.4,Islamabad,25.2,30.4,27.6
25,7,2018,81,15.6,997.5,24.7,Islamabad,25.7,31.6,28.4
26,7,2018,89,19.4,998.4,24.2,Islamabad,24.2,29.3,26.2
27,7,2018,83,18.3,998.6,23.3,Islamabad,23.7,29.4,26.5
28,7,2018,83,6.9,999.0,23.5,Islamabad,23.3,29.8,26.7
29,7,2018,79,9.5,999.4,23.2,Islamabad,23.4,30.9,27.3
30,7,2018,71,10.3,998.3,23.0,Islamabad,25.5,32.2,29.0
31,7,2018,69,8.5,996.9,23.6,Islamabad,26.3,33.4,30.1
1,8,2018,73,12.2,997.4,23.8,Islamabad,26.9,32.3,29.2
2,8,2018,75,13.0,999.6,23.4,Islamabad,23.6,32.2,28.4
3,8,2018,68,9.2,999.2,23.7,Islamabad,27.7,33.0,30.4
4,8,2018,69,13.0,998.1,24.2,Islamabad,27.6,34.0,30.6
5,8,2018,70,17.1,997.3,24.5,Islamabad,27.9,35.2,31.0
6,8,2018,78,24.8,997.3,24.5,Islamabad,25.5,31.9,28.8
7,8,2018,92,26.6,1000.1,22.9,Islamabad,23.8,24.9,24.3
8,8,2018,83,17.6,1002.5,22.4,Islamabad,23.4,28.7,25.6
9,8,2018,77,10.5,1004.2,23.4,Islamabad,24.5,31.8,27.9
10,8,2018,75,9.4,1002.1,24.0,Islamabad,25.4,32.4,29.1
11,8,2018,79,12.8,997.6,25.0,Islamabad,26.9,32.0,29.1
12,8,2018,84,21.5,994.9,25.0,Islamabad,25.9,30.6,28.1
13,8,2018,85,17.2,997.1,23.4,Islamabad,23.2,29.8,26.1
14,8,2018,84,13.8,999.4,23.3,Islamabad,24.1,29.2,26.3
15,8,2018,77,9.8,1000.6,23.4,Islamabad,24.5,30.8,27.8
16,8,2018,77,12.4,1003.2,24.1,Islamabad,26.5,31.4,28.7
17,8,2018,79,10.6,1000.5,24.8,Islamabad,26.2,31.7,28.8
18,8,2018,84,14.0,1000.4,24.1,Islamabad,23.8,30.1,27.0
19,8,2018,80,8.1,999.6,24.7,Islamabad,25.5,31.7,28.6
20,8,2018,75,7.6,1000.4,25.0,Islamabad,27.3,31.9,29.9
21,8,2018,85,18.6,1001.1,24.6,Islamabad,25.3,30.4,27.4
22,8,2018,79,15.5,1000.1,24.1,Islamabad,25.7,31.1,28.2
23,8,2018,81,12.1,999.8,24.8,Islamabad,25.3,31.3,28.4
24,8,2018,81,14.8,999.3,24.5,Islamabad,24.1,32.1,28.2
25,8,2018,79,14.6,999.1,23.2,Islamabad,23.5,31.2,27.2
26,8,2018,82,11.8,999.5,23.4,Islamabad,22.9,29.8,26.7
27,8,2018,78,14.8,1001.8,22.9,Islamabad,24.0,30.6,27.3
28,8,2018,65,10.0,1002.1,21.7,Islamabad,25.4,32.5,29.2
29,8,2018,65,9.9,1002.7,22.3,Islamabad,26.1,32.9,29.8
30,8,2018,68,13.1,1000.4,23.1,Islamabad,26.4,32.8,29.8
31,8,2018,64,17.0,1000.2,22.5,Islamabad,26.6,34.3,30.3
1,9,2018,67,17.6,1002.4,22.6,Islamabad,25.8,32.7,29.5
2,9,2018,72,13.4,1002.7,22.6,Islamabad,23.9,31.9,28.3
3,9,2018,77,13.2,1003.8,22.5,Islamabad,22.7,30.1,27.1
4,9,2018,69,12.3,1003.7,22.3,Islamabad,25.9,31.3,28.7
5,9,2018,67,12.0,1002.7,22.1,Islamabad,26.1,31.9,28.8
6,9,2018,61,12.1,1002.1,21.4,Islamabad,26.4,33.4,29.8
7,9,2018,59,11.1,1004.1,20.8,Islamabad,26.6,34.3,30.0
8,9,2018,67,14.8,1005.7,22.1,Islamabad,24.9,33.3,29.3
9,9,2018,67,18.2,1006.5,22.3,Islamabad,25.8,33.6,29.5
10,9,2018,68,15.5,1007.6,22.4,Islamabad,26.3,32.6,29.3
11,9,2018,68,15.4,1006.8,21.5,Islamabad,24.2,32.6,28.2
12,9,2018,60,19.5,1003.1,20.9,Islamabad,26.7,34.5,30.1
13,9,2018,68,24.3,1002.6,21.6,Islamabad,22.8,33.5,28.4
14,9,2018,71,15.4,1006.6,19.4,Islamabad,20.8,30.5,25.4
15,9,2018,81,13.7,1009.7,19.4,Islamabad,20.3,27.1,23.1
16,9,2018,65,12.0,1008.3,16.8,Islamabad,19.7,29.0,24.2
17,9,2018,56,12.2,1006.4,16.3,Islamabad,21.1,30.5,26.0
18,9,2018,49,10.1,1006.3,15.5,Islamabad,22.9,31.5,27.3
19,9,2018,53,9.8,1006.2,17.2,Islamabad,23.6,32.6,28.0
20,9,2018,53,10.8,1006.4,18.4,Islamabad,25.2,33.0,29.2
21,9,2018,59,16.0,1009.4,19.4,Islamabad,24.8,32.2,28.4
22,9,2018,67,20.2,1011.0,19.5,Islamabad,23.1,30.5,26.5
23,9,2018,67,18.4,1010.9,18.7,Islamabad,21.8,30.0,25.6
24,9,2018,62,15.7,1009.2,17.9,Islamabad,21.5,30.4,26.1
25,9,2018,62,13.4,1008.9,18.4,Islamabad,23.3,30.1,26.6
26,9,2018,55,17.6,1008.0,17.2,Islamabad,23.6,31.4,27.2
27,9,2018,56,16.0,1008.8,17.0,Islamabad,23.1,31.3,27.1
28,9,2018,47,15.2,1009.7,15.1,Islamabad,22.5,33.1,28.0
29,9,2018,49,12.4,1011.3,15.0,Islamabad,23.0,31.4,26.9
30,9,2018,49,13.4,1010.4,14.3,Islamabad,21.6,31.1,26.3
1,10,2018,40,11.2,1009.9,12.3,Islamabad,22.5,31.9,27.5
2,10,2018,38,11.3,1010.4,12.0,Islamabad,24.4,32.3,28.1
3,10,2018,42,15.5,1010.2,12.7,Islamabad,23.5,31.0,26.8
4,10,2018,52,19.2,1012.9,13.2,Islamabad,19.9,28.0,23.9
5,10,2018,53,18.1,1014.5,12.9,Islamabad,18.9,28.7,23.7
6,10,2018,39,13.0,1012.7,9.5,Islamabad,19.0,29.9,24.8
7,10,2018,34,11.1,1011.4,8.3,Islamabad,19.6,30.7,25.6
8,10,2018,52,22.7,1010.9,12.1,Islamabad,17.0,30.2,23.9
9,10,2018,71,15.8,1012.1,14.7,Islamabad,16.1,25.9,20.5
10,10,2018,56,13.7,1011.0,12.4,Islamabad,16.7,28.1,22.2
11,10,2018,45,7.4,1012.3,9.8,Islamabad,18.7,27.6,22.8
12,10,2018,46,16.4,1014.6,9.8,Islamabad,17.5,27.1,22.5
13,10,2018,49,12.1,1014.3,9.7,Islamabad,16.3,27.0,21.6
14,10,2018,45,12.5,1013.2,9.9,Islamabad,17.8,27.0,22.6
15,10,2018,46,15.7,1013.4,10.6,Islamabad,18.8,27.2,23.2
16,10,2018,76,20.8,1014.2,13.6,Islamabad,15.7,21.7,18.0
17,10,2018,66,17.9,1013.3,12.7,Islamabad,15.5,24.2,19.5
18,10,2018,52,10.9,1012.5,10.6,Islamabad,15.2,25.4,21.2
19,10,2018,48,10.5,1013.9,9.6,Islamabad,16.3,26.5,21.5
20,10,2018,47,14.1,1015.9,9.0,Islamabad,16.5,25.9,21.1
21,10,2018,52,11.7,1016.4,9.9,Islamabad,16.5,26.0,20.5
22,10,2018,45,12.6,1014.4,8.4,Islamabad,16.6,26.0,21.3
23,10,2018,38,8.2,1014.3,7.5,Islamabad,19.4,26.2,23.1
24,10,2018,42,13.4,1014.8,8.0,Islamabad,18.9,26.2,22.1
25,10,2018,50,13.5,1016.0,9.3,Islamabad,15.7,25.6,20.6
26,10,2018,52,14.3,1017.9,10.4,Islamabad,15.9,26.1,21.0
27,10,2018,51,11.2,1017.8,10.2,Islamabad,15.8,27.0,21.2
28,10,2018,46,11.6,1017.6,9.2,Islamabad,16.0,26.8,21.7
29,10,2018,48,11.4,1016.4,10.5,Islamabad,17.3,26.9,22.0
30,10,2018,57,10.8,1015.6,13.3,Islamabad,17.6,27.6,22.5
31,10,2018,65,15.6,1017.2,14.9,Islamabad,17.5,25.9,21.9
1,11,2018,83,21.7,1016.4,14.4,Islamabad,16.2,18.5,17.3
2,11,2018,77,13.9,1016.1,12.7,Islamabad,13.3,20.7,16.9
3,11,2018,73,13.4,1015.4,10.5,Islamabad,12.5,18.1,15.4
4,11,2018,63,9.9,1017.0,8.8,Islamabad,11.0,20.1,15.9
5,11,2018,59,13.5,1016.7,7.5,Islamabad,11.8,20.2,15.7
6,11,2018,55,18.1,1016.5,6.2,Islamabad,11.6,20.2,15.5
7,11,2018,53,12.0,1015.2,6.4,Islamabad,11.1,21.8,16.3
8,11,2018,45,11.2,1016.1,6.8,Islamabad,14.7,22.6,19.2
9,11,2018,59,10.2,1014.9,9.1,Islamabad,12.4,21.0,17.5
10,11,2018,56,7.3,1015.3,9.2,Islamabad,15.0,21.7,18.4
11,11,2018,62,10.5,1016.6,10.1,Islamabad,14.1,21.2,17.7
12,11,2018,59,10.3,1015.2,9.2,Islamabad,13.2,21.5,17.7
13,11,2018,68,13.2,1013.0,9.9,Islamabad,12.0,19.6,15.9
14,11,2018,79,9.0,1014.6,10.1,Islamabad,11.7,17.7,13.7
15,11,2018,66,10.1,1018.4,8.3,Islamabad,10.5,19.0,14.8
16,11,2018,67,14.6,1015.5,8.5,Islamabad,11.3,19.8,14.7
17,11,2018,61,12.8,1012.8,7.2,Islamabad,10.6,19.5,14.8
18,11,2018,47,8.6,1014.0,6.3,Islamabad,12.7,21.5,18.4
19,11,2018,55,11.5,1017.6,8.4,Islamabad,12.3,22.0,17.8
20,11,2018,59,13.5,1018.7,9.2,Islamabad,14.1,21.3,17.4
21,11,2018,60,13.0,1017.3,8.0,Islamabad,12.3,21.0,16.0
22,11,2018,61,15.1,1018.2,7.3,Islamabad,12.3,19.3,15.4
23,11,2018,65,17.1,1021.7,7.8,Islamabad,11.0,19.2,14.6
24,11,2018,60,17.3,1017.8,7.4,Islamabad,11.5,20.8,15.5
25,11,2018,53,9.3,1016.7,7.9,Islamabad,13.1,22.2,18.2
26,11,2018,57,12.3,1016.6,9.1,Islamabad,11.3,21.7,18.0
27,11,2018,59,14.5,1017.7,9.3,Islamabad,12.7,22.2,17.6
28,11,2018,64,10.0,1019.8,10.7,Islamabad,14.0,21.6,17.9
29,11,2018,69,16.8,1020.9,9.3,Islamabad,12.3,19.2,15.2
30,11,2018,64,14.8,1019.0,8.1,Islamabad,11.2,20.2,15.0
1,12,2018,53,10.1,1015.3,6.4,Islamabad,13.6,20.4,16.2
2,12,2018,58,10.7,1015.3,7.1,Islamabad,12.3,20.4,15.6
3,12,2018,64,10.7,1016.4,7.5,Islamabad,8.7,18.5,14.4
4,12,2018,60,9.3,1018.1,7.7,Islamabad,12.0,19.1,15.8
5,12,2018,61,9.6,1015.1,7.4,Islamabad,11.6,19.0,15.2
6,12,2018,70,11.5,1015.8,8.3,Islamabad,10.8,17.8,13.9
7,12,2018,62,11.3,1015.7,6.0,Islamabad,8.0,17.9,13.6
8,12,2018,55,9.0,1016.5,5.6,Islamabad,9.4,18.0,14.7
9,12,2018,67,9.1,1015.9,7.4,Islamabad,9.0,17.4,13.7
10,12,2018,80,25.1,1016.5,7.7,Islamabad,9.2,12.2,11.0
11,12,2018,73,14.2,1018.6,6.3,Islamabad,7.8,14.7,11.0
12,12,2018,73,11.2,1019.5,6.2,Islamabad,7.6,15.1,10.9
13,12,2018,76,12.8,1022.6,6.3,Islamabad,7.3,14.1,10.4
14,12,2018,69,11.6,1024.5,4.3,Islamabad,6.3,14.3,9.8
15,12,2018,56,12.1,1023.7,1.3,Islamabad,6.0,14.8,9.9
16,12,2018,55,12.8,1023.2,1.4,Islamabad,6.5,15.8,10.5
